,district,nbhd,stories,year_built,rooms,finishedsqft,lotsize,units,bdrms,baths_total,year,month,style_bi-level,style_cape cod,style_colonial,style_dplx bungalow,style_duplex n/s,style_duplex o/s,style_milwaukee bungalow,style_ranch,style_triplex,extwall_aluminum / vinyl,extwall_aluminum/vinyl,extwall_brick,extwall_stone,extwall_wood
0,7,1680,1.0,1947,4,667,4356.0,1,2,1,2024,6,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1,5,2080,1.0,1950,4,953,4791.6,1,2,1,2024,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2,13,4720,2.0,1932,5,1152,8712.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3,9,240,1.0,1992,0,1156,7840.8,1,3,1,2024,6,False,False,False,False,False,False,False,True,False,True,False,False,False,False
4,15,3000,2.0,2002,6,1184,4356.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,True,False,False,False
5,10,2720,1.0,1926,7,1234,4791.6,1,2,2,2024,6,False,False,False,False,False,False,True,False,False,False,True,False,False,False
6,1,900,1.0,1954,5,1271,7840.8,1,3,2,2024,6,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7,13,4520,2.0,1948,6,1300,4356.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,True,False,False,False
8,7,1440,1.0,1929,7,1400,3484.8,1,3,1,2024,6,False,False,False,False,False,False,True,False,False,False,True,False,False,False
9,13,4800,1.0,1969,0,1500,27007.2,1,4,2,2024,6,False,False,False,False,False,False,False,True,False,True,False,False,False,False
10,5,780,1.0,1977,6,1506,10454.4,1,3,2,2024,6,False,False,False,False,False,False,False,True,False,False,False,True,False,False
11,10,1850,1.5,1938,6,1532,4791.6,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False
12,14,4910,1.5,1910,9,1600,3484.8,2,3,2,2024,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False
13,10,2660,1.5,1953,6,1603,5227.2,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True
14,9,480,2.0,1974,6,1717,6534.0,1,3,1,2024,6,False,False,True,False,False,False,False,False,False,False,True,False,False,False
15,9,440,1.0,1976,8,1816,12196.8,1,5,2,2024,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True
16,14,4600,1.0,1924,0,1884,5000.0,1,2,1,2024,6,False,False,False,False,False,False,True,False,False,True,False,False,False,False
17,10,2600,1.0,1916,9,1907,10890.0,1,3,2,2024,6,False,False,False,False,False,False,True,False,False,False,True,False,False,False
18,13,4520,1.5,1928,10,1972,41817.6,2,4,2,2024,6,False,False,False,True,False,False,False,False,False,False,True,False,False,False
19,2,1490,2.0,1956,10,2007,7840.8,2,4,3,2024,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False
20,3,3320,1.0,1961,5,2118,5227.2,1,5,3,2024,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False
21,9,240,1.5,2001,6,2287,18730.8,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False
22,7,1150,2.0,1958,11,2739,4791.6,3,5,3,2024,6,False,False,False,False,False,False,False,False,True,False,False,True,False,False
