district,nbhd,style,extwall,stories,year_built,rooms,units,finishedsqft,lotsize,sale_price,bdrms,baths_total,sale_date,sale_year,sale_month
2,1480,cottage,aluminum/vinyl,1,1937,5,1,504,4800,65000,1,1,2021-06-07,2021,6
10,2710,cottage,aluminum / vinyl,1,1926,0,1,504,5580,92500,2,2,2013-08-01,2013,8
14,4910,residence o/s,aluminum / vinyl,1,1919,0,1,512,1500,67500,1,1,2013-07-01,2013,7
11,4320,cottage,asphalt/other,1,1922,4,1,528,5678,62000,2,2,2020-11-09,2020,11
14,4610,cottage,aluminum/vinyl,1,1910,4,1,532,3600,253000,2,1,2023-08-16,2023,8
14,4610,cottage,aluminum/vinyl,1,1900,3,1,540,1800,86000,1,1,2020-10-05,2020,10
10,2710,cottage,block,1,1937,3,1,540,5520,65000,1,1,2021-09-14,2021,9
9,600,cottage,aluminum/vinyl,1,1927,3,1,540,9176,57700,1,2,2023-02-17,2023,2
8,4120,cottage,aluminum/vinyl,1,1888,4,1,543,2520,65000,2,1,2020-10-02,2020,10
10,2710,cottage,aluminum / vinyl,1,1930,0,1,543,5160,75000,1,2,2018-11-01,2018,11
3,3240,cottage,fiber cement/hardiplank,1,1870,4,1,544,1830,135000,1,1,2021-05-10,2021,5
10,2540,residence o/s,aluminum / vinyl,1,1922,0,1,550,5160,99000,1,1,2018-07-01,2018,7
3,3150,residence o/s,aluminum / vinyl,2,1926,0,1,550,8640,190000,2,2,2018-05-01,2018,5
6,2890,cottage,aluminum / vinyl,1,1878,0,1,560,3175,75000,1,1,2017-03-01,2017,3
6,2890,cottage,aluminum/vinyl,1,1878,3,1,560,3175,87000,1,1,2020-04-06,2020,4
14,4120,cottage,asphalt/other,1,1900,6,1,564,2250,50000,2,1,2022-05-09,2022,5
1,1500,cottage,aluminum/vinyl,1,1924,4,1,572,4200,77000,2,1,2022-12-08,2022,12
2,1140,cottage,aluminum/vinyl,1,1945,4,1,572,7425,85000,2,1,2020-12-22,2020,12
3,3190,cottage,aluminum/vinyl,1,1890,4,1,576,1250,204000,1,1,2022-06-16,2022,6
10,2710,cottage,aluminum/vinyl,1,1920,3,1,576,3660,110000,1,1,2021-03-31,2021,3
13,4720,ranch,aluminum/vinyl,1,1935,3,1,576,5796,147000,1,1,2022-05-11,2022,5
10,2710,cottage,aluminum/vinyl,1,1922,5,1,576,7200,120000,1,1,2021-01-29,2021,1
8,4320,cottage,aluminum/vinyl,1,1929,4,1,581,3300,175000,2,1,2023-08-07,2023,8
12,4020,cottage,aluminum/vinyl,1,1900,4,1,587,3500,60000,1,1,2023-10-17,2023,10
7,1150,cottage,aluminum/vinyl,1,1929,3,1,592,5842,52100,1,1,2022-10-08,2022,10
9,560,ranch,aluminum/vinyl,1,1950,8,1,597,18322,113000,4,1,2022-04-29,2022,4
14,4540,cottage,aluminum/vinyl,1,1920,4,1,600,1875,175000,2,1,2021-09-08,2021,9
10,2700,residence o/s,aluminum / vinyl,1,1920,0,1,600,4800,82000,1,1,2018-07-01,2018,7
7,1150,ranch,aluminum/vinyl,1,1929,4,1,600,6477,53000,1,1,2022-02-15,2022,2
10,2710,cottage,asphalt/other,1,1922,4,1,604,3810,110000,2,1,2022-12-12,2022,12
10,2710,cottage,asphalt/other,1,1922,4,1,604,3810,152500,2,1,2023-03-24,2023,3
13,4700,cottage,aluminum / vinyl,1,1925,0,1,606,2975,75000,2,2,2017-02-01,2017,2
10,2710,cottage,aluminum/vinyl,1,1920,4,1,608,3720,74000,1,1,2020-08-18,2020,8
13,4620,ranch,aluminum / vinyl,1,1943,0,1,608,4680,67000,1,1,2013-07-01,2013,7
14,4620,ranch,wood,1,1943,3,1,609,5289,170000,1,1,2023-07-27,2023,7
12,4100,cottage,asphalt/other,1,1880,5,1,612,2575,90000,2,1,2021-10-19,2021,10
10,2710,res o/s a & 1/2,aluminum/vinyl,1,1925,4,1,616,3844,115000,2,1,2023-09-21,2023,9
14,4910,cottage,aluminum / vinyl,1,1900,0,1,618,4500,80000,2,1,2017-07-01,2017,7
6,2930,cottage,aluminum/vinyl,1,1895,4,1,622,3330,68000,2,1,2021-07-29,2021,7
3,2890,cottage,frame,1,1885,0,1,624,3600,75000,2,1,2017-05-01,2017,5
14,4620,ranch,frame,1,1951,0,1,624,4392,70000,2,1,2015-09-01,2015,9
11,4240,ranch,aluminum / vinyl,1,1949,0,1,624,4800,100000,2,1,2015-10-01,2015,10
5,2100,ranch,aluminum/vinyl,1,1950,4,1,624,4800,131000,2,1,2020-09-30,2020,9
5,2100,ranch,aluminum / vinyl,1,1950,0,1,624,4960,86500,2,1,2015-03-01,2015,3
5,2100,ranch,aluminum/vinyl,1,1950,4,1,624,4960,125000,2,1,2020-10-27,2020,10
5,2100,ranch,stucco,1,1951,0,1,624,5000,90600,2,1,2017-08-01,2017,8
5,2100,ranch,aluminum / vinyl,1,1951,0,1,624,5000,132000,2,1,2018-10-01,2018,10
5,2100,ranch,aluminum/vinyl,1,1951,4,1,624,5000,148000,2,1,2020-12-02,2020,12
1,1150,ranch,aluminum/vinyl,1,1953,8,1,624,5040,65000,4,1,2022-04-29,2022,4
1,1150,ranch,aluminum/vinyl,1,1953,8,1,624,5040,108000,4,1,2023-09-15,2023,9
7,1150,ranch,aluminum / vinyl,1,1947,0,1,624,5520,50000,2,1,2018-12-01,2018,12
7,1150,ranch,aluminum/vinyl,1,1947,4,1,624,5520,70000,2,1,2023-12-15,2023,12
2,1140,ranch,aluminum/vinyl,1,1952,4,1,624,6160,106000,2,1,2021-10-29,2021,10
13,4700,ranch,aluminum/vinyl,1,1948,8,1,625,4800,172000,4,2,2022-03-21,2022,3
5,2080,ranch,aluminum/vinyl,1,1950,3,1,625,5280,166000,1,1,2022-05-27,2022,5
7,1840,cottage,aluminum / vinyl,1,1926,0,1,630,5125,55000,2,1,2018-10-01,2018,10
2,1480,cottage,aluminum/vinyl,1,1940,4,1,632,5080,73500,2,1,2022-04-04,2022,4
10,2720,cottage,stucco,1,1924,4,1,632,5400,115000,2,2,2020-10-22,2020,10
13,4360,ranch,aluminum / vinyl,1,1951,0,1,633,4860,89900,2,1,2017-05-01,2017,5
13,4360,ranch,aluminum/vinyl,1,1951,4,1,633,4860,122000,2,1,2020-04-06,2020,4
13,4700,ranch,aluminum / vinyl,1,1950,0,1,635,5800,112900,2,1,2017-07-01,2017,7
5,2100,ranch,aluminum/vinyl,1,1952,4,1,637,4800,170000,2,1,2023-10-16,2023,10
11,4240,ranch,aluminum / vinyl,1,1950,0,1,638,4800,77000,2,1,2013-07-01,2013,7
14,4910,cottage,aluminum / vinyl,1,1895,0,1,640,6000,97500,2,2,2013-11-01,2013,11
14,4910,cottage,aluminum/vinyl,1,1895,4,1,640,6000,175000,2,1,2021-05-07,2021,5
11,4240,ranch,aluminum / vinyl,1,1950,0,1,643,4800,99500,2,1,2013-08-01,2013,8
11,4240,ranch,aluminum / vinyl,1,1950,0,1,643,4800,111900,2,1,2016-07-01,2016,7
11,4240,ranch,aluminum / vinyl,1,1951,0,1,644,4800,117500,2,1,2018-05-01,2018,5
5,2100,ranch,aluminum / vinyl,1,1952,0,1,645,5000,125000,2,1,2018-04-01,2018,4
5,2100,ranch,aluminum/vinyl,1,1950,4,1,645,5120,165100,2,1,2022-09-20,2022,9
8,4060,cottage,aluminum/vinyl,1,1900,6,1,646,1560,70000,3,2,2023-08-08,2023,8
11,4240,ranch,aluminum/vinyl,1,1949,4,1,646,4800,115000,2,1,2020-04-06,2020,4
11,4240,ranch,aluminum/vinyl,1,1949,4,1,646,4800,170000,2,1,2022-05-05,2022,5
13,4700,res o/s 1 story,aluminum/vinyl,1,1931,4,1,647,4800,150000,2,1,2023-11-03,2023,11
12,4020,cottage,aluminum/vinyl,1,1904,5,1,648,3500,76000,2,1,2022-07-19,2022,7
12,4120,cottage,aluminum/vinyl,1,1885,4,1,648,4200,52000,2,1,2021-01-28,2021,1
