district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
9.0,40.0,cape cod,aluminum/vinyl,1.0,1942.0,7.0,1182.0,1,4.0,1.0,1.0,33541.0,2023-12-15,160000.0,2023,12
9.0,40.0,ranch,fiber cement/hardiplank,1.0,2006.0,9.0,1880.0,1,3.0,2.0,0.0,10607.0,2023-08-31,387500.0,2023,8
9.0,40.0,ranch,aluminum/vinyl,1.0,1980.0,6.0,1489.0,1,3.0,3.0,0.0,8640.0,2023-08-25,335000.0,2023,8
9.0,40.0,ranch,aluminum/vinyl,1.0,1986.0,5.0,1209.0,1,3.0,1.0,1.0,7200.0,2023-06-20,250000.0,2023,6
9.0,40.0,colonial,aluminum/vinyl,2.0,1989.0,6.0,1663.0,1,3.0,2.0,1.0,7200.0,2023-01-10,270000.0,2023,1
9.0,40.0,bi-level,aluminum/vinyl,1.0,1984.0,6.0,1311.0,1,3.0,2.0,0.0,7412.0,2023-12-27,250000.0,2023,12
9.0,40.0,colonial,aluminum/vinyl,2.0,1978.0,6.0,1826.0,1,3.0,1.0,1.0,14948.0,2023-07-25,275000.0,2023,7
9.0,40.0,colonial,aluminum/vinyl,2.0,1978.0,7.0,1828.0,1,4.0,1.0,2.0,19907.0,2023-02-13,275000.0,2023,2
9.0,40.0,duplex n/s,aluminum/vinyl,1.0,1980.0,12.0,2644.0,2,5.0,3.0,1.0,8790.0,2023-08-30,251000.0,2023,8
9.0,40.0,townhouse,aluminum/vinyl,2.0,1979.0,10.0,2482.0,2,6.0,2.0,2.0,7200.0,2023-09-11,250000.0,2023,9
9.0,40.0,colonial,aluminum/vinyl,2.0,2007.0,7.0,1624.0,1,3.0,2.0,1.0,7123.0,2023-12-06,196000.0,2023,12
9.0,40.0,cape cod,aluminum/vinyl,1.0,1947.0,6.0,1247.0,1,4.0,1.0,1.0,81893.0,2023-06-01,150000.0,2023,6
9.0,240.0,cape cod,fiber cement/hardiplank,1.5,2021.0,8.0,2430.0,1,3.0,2.0,1.0,15280.0,2023-11-03,507250.0,2023,11
9.0,240.0,townhouse,aluminum/vinyl,2.0,1971.0,10.0,2441.0,2,6.0,2.0,2.0,6284.0,2023-01-20,228000.0,2023,1
9.0,240.0,townhouse,aluminum/vinyl,2.0,1971.0,10.0,2441.0,2,6.0,2.0,2.0,6000.0,2023-06-30,250000.0,2023,6
9.0,240.0,townhouse,aluminum/vinyl,2.0,1970.0,10.0,2423.0,2,6.0,2.0,2.0,6175.0,2023-02-06,265000.0,2023,2
9.0,240.0,cottage,aluminum/vinyl,1.0,1938.0,5.0,711.0,1,2.0,1.0,0.0,7500.0,2023-11-15,129800.0,2023,11
9.0,240.0,dplx bungalow,aluminum/vinyl,1.5,1926.0,9.0,2103.0,2,3.0,2.0,0.0,15536.0,2023-12-19,205000.0,2023,12
9.0,240.0,milwaukee bungalow,wood,1.0,1924.0,7.0,1328.0,1,3.0,1.0,0.0,75794.0,2023-10-03,209900.0,2023,10
9.0,40.0,milwaukee bungalow,aluminum/vinyl,1.0,1928.0,7.0,1105.0,1,3.0,1.0,1.0,15550.0,2023-05-31,120000.0,2023,5
9.0,40.0,colonial,aluminum/vinyl,2.0,2006.0,22.0,5223.0,1,8.0,4.0,1.0,36936.0,2023-05-10,500000.0,2023,5
9.0,240.0,ranch,aluminum/vinyl,1.0,1990.0,5.0,1142.0,1,3.0,1.0,1.0,7624.0,2023-07-13,240000.0,2023,7
9.0,240.0,ranch,aluminum/vinyl,1.0,1992.0,5.0,1143.0,1,3.0,2.0,1.0,7200.0,2023-08-25,246000.0,2023,8
9.0,240.0,split level,aluminum/vinyl,1.0,1996.0,14.0,1799.0,1,8.0,2.0,0.0,7200.0,2023-02-24,300000.0,2023,2
9.0,240.0,ranch,aluminum/vinyl,1.0,1990.0,5.0,1138.0,1,3.0,2.0,1.0,7349.0,2023-01-25,280000.0,2023,1
9.0,240.0,colonial,aluminum/vinyl,2.0,1980.0,6.0,1445.0,1,3.0,1.0,1.0,7620.0,2023-01-11,240700.0,2023,1
9.0,240.0,split level,aluminum/vinyl,1.0,1992.0,7.0,1816.0,1,4.0,2.0,0.0,7200.0,2023-08-21,270000.0,2023,8
9.0,240.0,colonial,aluminum/vinyl,2.0,2000.0,7.0,1495.0,1,3.0,2.0,0.0,7687.0,2023-10-05,259900.0,2023,10
9.0,240.0,ranch,aluminum/vinyl,1.0,1984.0,5.0,1077.0,1,3.0,1.0,1.0,7338.0,2023-06-12,230000.0,2023,6
9.0,240.0,ranch,aluminum/vinyl,1.0,1995.0,5.0,942.0,1,3.0,1.0,0.0,8383.0,2023-08-14,229000.0,2023,8
9.0,240.0,split level,aluminum/vinyl,1.0,1990.0,7.0,1751.0,1,4.0,2.0,0.0,7367.0,2023-04-14,285000.0,2023,4
9.0,240.0,ranch,aluminum/vinyl,1.0,1980.0,4.0,912.0,1,2.0,1.0,0.0,7200.0,2023-12-11,189000.0,2023,12
9.0,240.0,ranch,aluminum/vinyl,1.0,1980.0,5.0,1077.0,1,3.0,1.0,1.0,7200.0,2023-02-12,239000.0,2023,2
9.0,240.0,ranch,brick,1.0,1968.0,7.0,1796.0,1,3.0,2.0,0.0,10000.0,2023-01-17,275000.0,2023,1
9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,7.0,1689.0,1,5.0,3.0,1.0,9000.0,2023-06-16,370700.0,2023,6
9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,6.0,1200.0,1,4.0,1.0,1.0,9000.0,2023-06-30,215000.0,2023,6
9.0,240.0,ranch,aluminum/vinyl,1.0,1969.0,6.0,1534.0,1,3.0,1.0,2.0,12865.0,2023-01-20,199900.0,2023,1
