PropType,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,6440.0,Fast Food Operation,1.0,2000.0,0.0,3229.0,1,0.0,0.0,0.0,1703065320.0,2020-12-23,2150000.0
Commercial,6440.0,Fast Food Operation,1.0,1968.0,0.0,1980.0,1,0.0,0.0,0.0,457380000.0,2020-12-23,1200000.0
Commercial,6202.0,Day Care Center,1.0,2000.0,0.0,34100.0,1,0.0,0.0,0.0,2238984.0,2021-05-07,1500000.0
Commercial,6453.0,Office Building - 1 Story,1.0,2003.0,0.0,88259.0,1,0.0,0.0,0.0,640462.0,2019-02-14,18050000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1947.0,0.0,314004.0,3,0.0,0.0,0.0,575776.0,2019-03-28,6100000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1933.0,0.0,193000.0,3,0.0,0.0,0.0,557132.0,2019-07-17,2070000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1956.0,0.0,108003.0,1,0.0,0.0,0.0,445163.0,2019-01-04,7100000.0
Commercial,6421.0,"Car Dealer, Truck Dealer",1.0,1977.0,0.0,52540.0,3,0.0,0.0,0.0,387858.0,2019-04-22,2200000.0
Commercial,6423.0,Mini Warehouse,1.0,1976.0,0.0,101059.0,781,0.0,0.0,0.0,387684.0,2021-06-24,10676250.0
Commercial,6452.0,Neighborhood Center,1.0,1988.0,0.0,107582.0,8,0.0,0.0,0.0,325959.0,2019-04-19,9030000.0
Lg Apartment,6967.0,AP4 (Conv Apt with 21 or more Units),2.0,1970.0,0.0,122360.0,128,0.0,0.0,0.0,309679.0,2021-01-28,7900000.0
Commercial,6453.0,Office Building - 1 Story,1.0,1987.0,0.0,40020.0,1,0.0,0.0,0.0,289744.0,2021-06-21,1530000.0
Commercial,6422.0,Trucking Terminal,1.0,1969.0,0.0,19340.0,1,0.0,0.0,0.0,256655.0,2020-12-30,1890872.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1995.0,0.0,60000.0,2,0.0,0.0,0.0,237968.0,2019-10-18,3350000.0
Commercial,6420.0,Warehouse Building - 1 Story,1.0,1979.0,0.0,30000.0,3,0.0,0.0,0.0,237402.0,2021-02-01,1035000.0
