district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
9,600,cottage,aluminum/vinyl,1,1927,3,540,1,1,1,1,9176,2023-02-17,57700,2023,2
2,1140,cape cod,aluminum/vinyl,1,1953,6,1069,1,1,1,0,6600,2023-02-22,175000,2023,2
1,1140,res o/s 1 story,aluminum/vinyl,1,1927,3,676,1,1,1,0,6160,2023-08-30,90000,2023,8
2,1480,cape cod,wood,1,1935,5,960,1,1,1,0,4275,2023-04-27,70000,2023,4
3,3320,res o/s 2sty +,brick,2,1929,7,1516,1,1,1,1,5400,2023-05-24,500000,2023,5
6,2910,cottage,wood,1.5,1880,4,1120,1,1,2,0,5500,2023-10-12,314000,2023,10
10,2720,cottage,aluminum/vinyl,1,1920,5,680,1,1,1,0,4600,2023-11-10,132000,2023,11
10,2710,cottage,brick,1,1919,6,1050,1,1,1,0,3600,2023-09-25,150000,2023,9
10,2710,cottage,aluminum/vinyl,1,1916,4,664,1,1,1,0,3600,2023-07-07,100100,2023,7
10,2710,res o/s 2sty +,aluminum/vinyl,2,1923,4,1144,1,1,2,0,3810,2023-06-30,207000,2023,6
12,4120,res o/s a & 1/2,aluminum/vinyl,1,1875,3,896,1,1,1,0,5250,2023-08-30,90000,2023,8
12,4020,cottage,aluminum/vinyl,1,1900,4,587,1,1,1,0,3500,2023-10-17,60000,2023,10
14,4510,cottage,aluminum/vinyl,1,1900,5,1377,1,1,1,0,3161,2023-05-25,242000,2023,5
14,4580,ranch,precast masonary,1,1952,3,672,1,1,1,0,4800,2023-08-18,225000,2023,8
14,4620,ranch,wood,1,1943,3,609,1,1,1,0,5289,2023-07-27,170000,2023,7
7,1560,cottage,asphalt/other,1,1941,5,970,1,1,1,0,5293,2022-06-23,110000,2022,6
7,1150,cottage,aluminum/vinyl,1,1929,3,592,1,1,1,0,5842,2022-10-08,52100,2022,10
7,1150,ranch,aluminum/vinyl,1,1929,4,600,1,1,1,0,6477,2022-02-15,53000,2022,2
7,1740,ranch,aluminum/vinyl,1,1942,5,1087,1,1,1,0,5880,2022-10-22,105000,2022,10
7,1840,ranch,aluminum/vinyl,1,1953,3,672,1,1,1,1,4725,2022-04-22,122700,2022,4
5,2080,ranch,aluminum/vinyl,1,1950,3,625,1,1,1,0,5280,2022-05-27,166000,2022,5
3,3190,cottage,aluminum/vinyl,1,1890,4,576,1,1,1,0,1250,2022-06-16,204000,2022,6
3,3330,cottage,fiber cement/hardiplank,1,1900,5,1020,1,1,2,0,3000,2022-08-25,245000,2022,8
3,2890,cottage,aluminum/vinyl,1,1890,4,662,1,1,1,0,3267,2022-10-25,80000,2022,10
6,2910,cottage,wood,1,1880,4,1120,1,1,2,0,5500,2022-08-31,245000,2022,8
6,2910,cottage,fiber cement/hardiplank,1,1868,4,1674,1,1,2,0,4914,2022-01-14,315000,2022,1
3,3240,cottage,aluminum/vinyl,1,1880,4,738,1,1,1,0,3810,2022-07-28,135000,2022,7
12,4020,res o/s 2sty +,brick,2,1880,4,1882,1,1,2,1,3640,2022-05-13,350000,2022,5
12,4020,cottage,aluminum/vinyl,1,1900,4,707,1,1,1,1,1650,2022-12-16,81111,2022,12
14,4610,res o/s 2sty +,aluminum/vinyl,2,1913,5,1080,1,1,1,1,3750,2022-07-18,199900,2022,7
13,4720,ranch,aluminum/vinyl,1,1935,3,576,1,1,1,0,5796,2022-05-11,147000,2022,5
1,900,cottage,aluminum/vinyl,1,1925,4,738,1,1,1,1,4680,2021-07-08,60000,2021,7
2,1480,cottage,aluminum/vinyl,1,1937,5,504,1,1,1,0,4800,2021-06-07,65000,2021,6
5,1470,duplex n/s,brick,1.5,1950,7,1207,2,1,2,0,8450,2021-06-25,180000,2021,6
7,1150,cape cod,aluminum/vinyl,1,1940,3,1213,1,1,1,0,5842,2021-08-12,75000,2021,8
5,2100,ranch,stone,1,1948,3,860,1,1,1,0,6000,2021-08-03,130000,2021,8
6,2900,cottage,aluminum/vinyl,1,1924,4,909,1,1,2,0,3920,2021-07-30,132500,2021,7
5,2100,ranch,aluminum/vinyl,1,1949,4,903,1,1,2,0,5640,2021-08-06,108000,2021,8
3,2890,cottage,asphalt/other,1,1885,4,669,1,1,1,0,3600,2021-04-08,99900,2021,4
5,2120,ranch,block,1,1951,4,1040,1,1,1,0,7800,2021-01-04,190000,2021,1
15,3000,cottage,aluminum/vinyl,1,1890,5,778,1,1,1,0,3520,2021-03-09,50000,2021,3
6,2910,multiple residential bldgs,aluminum/vinyl,1,1890,6,2032,2,1,2,0,7550,2021-05-06,260000,2021,5
3,3240,cottage,asphalt/other,2,1890,4,1024,1,1,1,0,2500,2021-06-22,180000,2021,6
3,3240,cottage,fiber cement/hardiplank,1,1870,4,544,1,1,1,0,1830,2021-05-10,135000,2021,5
10,2700,res o/s 1 story,aluminum/vinyl,1,1920,5,800,1,1,1,0,3700,2021-09-14,145000,2021,9
10,2710,cottage,block,1,1937,3,540,1,1,1,0,5520,2021-09-14,65000,2021,9
10,2710,cottage,aluminum/vinyl,1,1920,3,576,1,1,1,0,3660,2021-03-31,110000,2021,3
10,2710,cottage,aluminum/vinyl,1,1922,5,576,1,1,1,0,7200,2021-01-29,120000,2021,1
10,2710,cottage,aluminum/vinyl,1,1920,3,662,1,1,1,0,6708,2021-08-27,120000,2021,8
12,4020,cape cod,stucco,2,2003,0,1481,1,1,2,0,6776,2021-06-28,225000,2021,6
8,4120,cottage,asphalt/other,1,1911,4,792,1,1,1,0,1711,2021-03-30,60000,2021,3
12,4160,cottage,aluminum/vinyl,1,1918,4,1440,1,1,2,0,5760,2021-11-12,210000,2021,11
14,4540,cottage,aluminum/vinyl,1,1898,4,779,1,1,1,0,2900,2021-07-22,179900,2021,7
14,4540,milwaukee bungalow,aluminum/vinyl,1,1925,5,1107,1,1,1,1,3287,2021-08-31,215000,2021,8
14,4500,res o/s a & 1/2,aluminum/vinyl,1,1898,5,920,1,1,1,0,3375,2021-05-06,225000,2021,5
14,4620,cottage,aluminum/vinyl,1,1915,5,847,1,1,1,0,5175,2021-07-02,184900,2021,7
13,4720,cape cod,brick,1,1954,4,848,1,1,1,1,8528,2021-05-24,215000,2021,5
13,4660,ranch,aluminum/vinyl,1,1946,4,1124,1,1,1,0,12900,2021-09-14,154900,2021,9
9,240,residence o/s 2sty+,aluminum/vinyl,2,1862,5,1120,1,1,1,0,79715,2020-08-14,173000,2020,8
1,1140,cape cod,aluminum/vinyl,1,1943,3,808,1,1,1,0,5940,2020-02-18,65000,2020,2
5,2120,cottage,aluminum/vinyl,1.5,1880,5,934,1,1,1,0,5040,2020-07-29,105000,2020,7
6,2890,cottage,aluminum/vinyl,1,1878,3,560,1,1,1,0,3175,2020-04-06,87000,2020,4
10,2720,milwaukee bungalow,aluminum/vinyl,1,1930,4,660,1,1,1,0,4800,2020-07-08,120000,2020,7
10,2710,cottage,aluminum/vinyl,1,1920,4,608,1,1,1,0,3720,2020-08-18,74000,2020,8
12,4020,residence o/s 2sty+,brick,2,1880,4,1882,1,1,2,1,3640,2020-08-07,215000,2020,8
14,4910,cottage,aluminum/vinyl,1,1872,5,806,1,1,1,0,7000,2020-02-27,126900,2020,2
14,4540,res o/s 1 story,aluminum/vinyl,1,1895,4,950,1,1,1,1,7150,2020-10-09,285000,2020,10
14,4610,cottage,aluminum/vinyl,1,1900,3,540,1,1,1,0,1800,2020-10-05,86000,2020,10
14,4620,res o/s a & 1/2,aluminum/vinyl,1,1924,6,1120,1,1,2,0,8480,2020-11-20,166500,2020,11
11,4420,cape cod,brick,1,1939,4,853,1,1,1,0,7750,2020-10-07,120000,2020,10
3,3330,cottage,aluminum / vinyl,1.5,1900,0,817,1,1,1,0,3000,2018-03-01,116000,2018,3
5,2100,cottage,frame,1.5,1900,0,719,1,1,1,0,4800,2018-05-01,65000,2018,5
7,1840,ranch,brick,1,1954,0,1505,1,1,2,0,5250,2018-09-01,92000,2018,9
10,2710,cottage,aluminum / vinyl,1,1917,0,760,1,1,1,0,5040,2018-08-01,100000,2018,8
10,2710,cottage,aluminum / vinyl,1,1930,0,543,1,1,2,0,5160,2018-11-01,75000,2018,11
10,2700,residence o/s,aluminum / vinyl,1,1920,0,600,1,1,1,0,4800,2018-07-01,82000,2018,7
10,2540,residence o/s,aluminum / vinyl,1,1922,0,550,1,1,1,0,5160,2018-07-01,99000,2018,7
