,Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
144,4,2,2200,128502,2021-11-23,2021,11,336000
179,2,2,1125,101059,2021-10-08,2021,10,250000
191,4,1,1471,95832,2022-08-12,2022,8,274900
226,4,3,2303,84071,2019-07-18,2019,7,237500
231,4,2,1247,81893,2023-06-01,2023,6,150000
235,3,3,2428,80150,2019-04-16,2019,4,255000
245,3,1,1328,75794,2023-10-03,2023,10,209900
249,3,2,2373,74923,2016-02-01,2016,2,275000
259,3,1,1103,71438,2020-10-28,2020,10,184000
260,3,1,1188,71438,2018-03-01,2018,3,143500
289,4,3,2451,62726,2021-07-09,2021,7,285000
307,4,4,3702,59174,2017-02-01,2017,2,354000
308,2,1,1049,58674,2022-06-09,2022,6,207000
314,3,2,1068,57762,2021-07-02,2021,7,185000
340,4,3,2070,51666,2019-10-24,2019,10,233000
401,4,1,1068,42689,2022-05-13,2022,5,175000
415,4,4,2562,41568,2016-07-01,2016,7,295500
417,3,2,1872,41382,2023-08-23,2023,8,315000
423,5,4,2992,40946,2019-10-03,2019,10,300000
427,4,3,1846,40511,2022-02-25,2022,2,140000
428,4,3,1846,40511,2022-11-23,2022,11,300000
436,3,3,2143,40075,2022-10-10,2022,10,320000
437,3,3,2143,40075,2020-09-18,2020,9,270000
444,2,2,1577,39639,2020-11-05,2020,11,172500
450,4,2,1826,39204,2021-06-18,2021,6,298500
452,3,2,2138,39162,2021-06-11,2021,6,230000
456,3,3,2558,38712,2021-09-10,2021,9,375000
462,3,3,2541,38333,2020-10-23,2020,10,268000
463,3,3,2541,38333,2018-06-01,2018,6,215000
467,3,3,2141,38150,2021-03-04,2021,3,365000
473,4,2,1951,37897,2021-12-16,2021,12,315000
488,4,1,1296,37026,2021-04-13,2021,4,220000
499,4,2,2098,36590,2021-06-04,2021,6,305000
501,3,1,1347,36590,2021-01-13,2021,1,163000
502,4,2,2108,36590,2020-07-17,2020,7,245000
504,4,3,2114,36590,2019-10-04,2019,10,243000
518,4,3,2261,35719,2020-04-10,2020,4,209000
524,3,2,1725,35560,2022-07-13,2022,7,273000
567,4,2,1182,33541,2023-12-15,2023,12,160000
572,4,4,2237,33106,2021-04-08,2021,4,341000
609,4,1,1429,31388,2018-01-01,2018,1,134000
619,4,2,2069,30928,2023-05-31,2023,5,375000
620,6,2,1634,30928,2022-05-13,2022,5,246000
626,4,3,1516,30627,2016-05-01,2016,5,175000
632,4,3,2868,30486,2019-08-30,2019,8,375000
644,2,1,929,30056,2021-06-28,2021,6,135000
645,3,2,1176,30056,2020-04-03,2020,4,176000
648,3,2,1176,30056,2018-07-01,2018,7,160000
678,3,4,2059,29171,2014-05-01,2014,5,260000
681,3,2,2171,29000,2023-06-05,2023,6,279000
690,4,3,2610,28792,2015-04-01,2015,4,284900
706,4,3,2659,27984,2017-10-01,2017,10,218000
709,3,2,1373,27915,2021-09-30,2021,9,305000
720,2,2,1521,27452,2020-06-12,2020,6,190000
721,3,2,1983,27443,2023-05-12,2023,5,310000
722,3,2,1983,27443,2021-02-12,2021,2,278000
727,4,3,2042,27272,2023-05-04,2023,5,267000
733,4,4,2220,27007,2018-07-01,2018,7,237000
746,4,3,1931,26700,2016-06-01,2016,6,232500
753,6,3,3080,26572,2021-04-30,2021,4,280000
807,4,2,2033,24792,2021-09-16,2021,9,321000
810,4,2,1668,24628,2016-04-01,2016,4,146000
816,3,3,2421,24527,2014-11-01,2014,11,255000
822,3,4,2380,24394,2020-04-03,2020,4,288000
829,13,6,8810,24192,2013-02-01,2013,2,175000
840,3,3,1866,23958,2022-08-18,2022,8,290000
843,8,3,1545,23920,2022-05-16,2022,5,280000
846,4,3,1545,23920,2018-02-01,2018,2,219000
851,5,4,3161,23700,2015-04-01,2015,4,114000
856,3,2,1662,23625,2022-07-14,2022,7,280000
857,3,2,1662,23625,2017-09-01,2017,9,181000
870,4,5,2329,23200,2021-01-15,2021,1,220000
876,4,2,1679,23016,2020-05-29,2020,5,216000
879,3,2,908,22990,2023-06-06,2023,6,208000
891,4,2,1946,22769,2022-09-22,2022,9,290000
892,4,2,1946,22769,2013-09-01,2013,9,140000
913,3,3,2206,22500,2018-07-01,2018,7,265000
