,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
79,Ranch,3,2,1884,2023-01-23,2023,1,349000
92,Ranch,3,2,2104,2022-09-13,2022,9,200000
144,Colonial,4,2,2200,2021-11-23,2021,11,336000
150,Ranch,3,2,1585,2023-11-21,2023,11,233000
179,Res O/S 1 Story,2,2,1125,2021-10-08,2021,10,250000
191,Cape Cod,4,1,1471,2022-08-12,2022,8,274900
208,Ranch,2,2,1269,2022-11-07,2022,11,302000
226,Colonial,4,3,2303,2019-07-18,2019,7,237500
228,Ranch,3,2,1334,2022-08-09,2022,8,280000
231,Cape Cod,4,2,1247,2023-06-01,2023,6,150000
235,Colonial,3,3,2428,2019-04-16,2019,4,255000
245,Milwaukee Bungalow,3,1,1328,2023-10-03,2023,10,209900
249,Colonial,3,2,2373,2016-02-01,2016,2,275000
252,Ranch,3,2,1639,2020-11-30,2020,11,264000
259,Cape Cod,3,1,1103,2020-10-28,2020,10,184000
260,Cape Cod,3,1,1188,2018-03-01,2018,3,143500
289,Cape Cod,4,3,2451,2021-07-09,2021,7,285000
304,Cape Cod,3,2,2694,2021-07-05,2021,7,415000
308,Cape Cod,2,1,1049,2022-06-09,2022,6,207000
310,Ranch,3,2,1486,2022-09-19,2022,9,215000
314,Res O/S A & 1/2,3,2,1068,2021-07-02,2021,7,185000
321,Ranch,3,2,1505,2021-10-01,2021,10,240000
322,Ranch,3,2,1505,2018-07-01,2018,7,190000
330,Ranch,4,2,1928,2022-01-11,2022,1,205000
338,Ranch,4,3,2132,2022-09-26,2022,9,381500
340,Cape Cod,4,3,2070,2019-10-24,2019,10,233000
356,Ranch,3,2,1800,2023-08-29,2023,8,345000
384,Ranch,3,2,1743,2019-09-25,2019,9,227000
391,Ranch,3,2,1985,2021-09-30,2021,9,335000
401,Cape Cod,4,1,1068,2022-05-13,2022,5,175000
406,Ranch,3,3,2099,2023-08-21,2023,8,410000
415,Colonial,4,4,2562,2016-07-01,2016,7,295500
417,Cape Cod,3,2,1872,2023-08-23,2023,8,315000
423,Cape Cod,5,4,2992,2019-10-03,2019,10,300000
427,Colonial,4,3,1846,2022-02-25,2022,2,140000
428,Colonial,4,3,1846,2022-11-23,2022,11,300000
429,Colonial,4,4,2916,2021-05-26,2021,5,420000
436,Colonial,3,3,2143,2022-10-10,2022,10,320000
437,Colonial,3,3,2143,2020-09-18,2020,9,270000
444,Milwaukee Bungalow,2,2,1577,2020-11-05,2020,11,172500
447,Ranch,3,2,1751,2022-10-20,2022,10,216000
450,Cape Cod,4,2,1826,2021-06-18,2021,6,298500
452,Duplex O/S,3,2,2138,2021-06-11,2021,6,230000
456,Colonial,3,3,2558,2021-09-10,2021,9,375000
457,Colonial,4,3,2516,2023-08-29,2023,8,430000
462,Colonial,3,3,2541,2020-10-23,2020,10,268000
463,Colonial,3,3,2541,2018-06-01,2018,6,215000
467,Colonial,3,3,2141,2021-03-04,2021,3,365000
473,Split Level,4,2,1951,2021-12-16,2021,12,315000
474,Ranch,3,2,1942,2018-08-01,2018,8,245000
488,Milwaukee Bungalow,4,1,1296,2021-04-13,2021,4,220000
499,Colonial,4,2,2098,2021-06-04,2021,6,305000
500,Ranch,3,3,1988,2021-12-15,2021,12,271000
501,Res O/S A & 1/2,3,1,1347,2021-01-13,2021,1,163000
502,Colonial,4,2,2108,2020-07-17,2020,7,245000
503,Ranch,3,2,1829,2020-10-30,2020,10,180000
504,Colonial,4,3,2114,2019-10-04,2019,10,243000
505,Ranch,3,2,1461,2014-05-01,2014,5,144500
518,Colonial,4,3,2261,2020-04-10,2020,4,209000
524,Cape Cod,3,2,1725,2022-07-13,2022,7,273000
526,Ranch,3,2,1543,2020-08-24,2020,8,282000
547,Residence O/S,3,2,1622,2013-02-01,2013,2,126000
567,Cape Cod,4,2,1182,2023-12-15,2023,12,160000
569,Ranch,3,2,1927,2018-09-01,2018,9,230000
572,Colonial,4,4,2237,2021-04-08,2021,4,341000
579,Ranch,3,2,1241,2021-09-10,2021,9,265000
582,Ranch,3,2,1166,2019-10-04,2019,10,171500
592,Ranch,3,2,1946,2023-12-07,2023,12,285900
594,Ranch,3,2,1671,2019-01-07,2019,1,183500
609,Milwaukee Bungalow,4,1,1429,2018-01-01,2018,1,134000
610,Residence O/S 2sty+,4,2,2400,2021-05-10,2021,5,341000
611,Residence O/S,4,2,2400,2019-05-03,2019,5,177000
615,Ranch,3,1,1536,2014-12-01,2014,12,123400
616,Ranch,3,2,1621,2018-07-01,2018,7,228000
619,Colonial,4,2,2069,2023-05-31,2023,5,375000
621,Ranch,3,2,1756,2020-02-14,2020,2,190000
622,Ranch,2,1,1563,2015-07-01,2015,7,163900
623,Colonial,4,3,2551,2022-04-25,2022,4,400000
626,Cape Cod,4,3,1516,2016-05-01,2016,5,175000
632,Colonial,4,3,2868,2019-08-30,2019,8,375000
642,Ranch,3,3,1095,2022-07-15,2022,7,220000
643,Ranch,3,2,1550,2021-08-10,2021,8,260000
644,Milwaukee Bungalow,2,1,929,2021-06-28,2021,6,135000
645,Cape Cod,3,2,1176,2020-04-03,2020,4,176000
646,Ranch,3,2,1550,2020-01-24,2020,1,195000
648,Cape Cod,3,2,1176,2018-07-01,2018,7,160000
662,Ranch,3,2,2174,2013-11-01,2013,11,260000
673,Ranch,3,1,1412,2023-12-29,2023,12,205000
674,Ranch,2,1,1229,2023-12-22,2023,12,253750
676,Ranch,3,3,1304,2021-10-04,2021,10,280000
