proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
commercial,9.0,6202.0,office building - 1 story,concrete block,1.0,1981.0,0.0,12960.0,5,0.0,0.0,0.0,54885.0,2023-08-15,530000.0,2023.0,8.0
residential,9.0,40.0,cape cod,aluminum/vinyl,1.0,1942.0,7.0,1182.0,1,4.0,1.0,1.0,33541.0,2023-12-15,160000.0,2023.0,12.0
residential,9.0,40.0,ranch,fiber cement/hardiplank,1.0,2006.0,9.0,1880.0,1,3.0,2.0,0.0,10607.0,2023-08-31,387500.0,2023.0,8.0
residential,9.0,40.0,ranch,aluminum/vinyl,1.0,1980.0,6.0,1489.0,1,3.0,3.0,0.0,8640.0,2023-08-25,335000.0,2023.0,8.0
residential,9.0,40.0,ranch,aluminum/vinyl,1.0,1986.0,5.0,1209.0,1,3.0,1.0,1.0,7200.0,2023-06-20,250000.0,2023.0,6.0
residential,9.0,40.0,colonial,aluminum/vinyl,2.0,1989.0,6.0,1663.0,1,3.0,2.0,1.0,7200.0,2023-01-10,270000.0,2023.0,1.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,7.0,1437.0,1,4.0,2.0,1.0,0.0,2023-08-18,107000.0,2023.0,8.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,7.0,1437.0,1,4.0,2.0,1.0,0.0,2023-11-09,150000.0,2023.0,11.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,6.0,1437.0,1,3.0,2.0,1.0,0.0,2023-05-24,155000.0,2023.0,5.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,5.0,1244.0,1,2.0,2.0,1.0,0.0,2023-09-29,125000.0,2023.0,9.0
condominium,9.0,5010.0,condo ranch,brick,1.0,1973.0,4.0,898.0,1,2.0,1.0,1.0,0.0,2023-06-30,95000.0,2023.0,6.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,6.0,1244.0,1,3.0,2.0,1.0,0.0,2023-04-12,114800.0,2023.0,4.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,7.0,1437.0,1,4.0,2.0,1.0,0.0,2023-03-31,107500.0,2023.0,3.0
condominium,9.0,5010.0,condo townhouse,brick,2.0,1973.0,6.0,1244.0,1,3.0,2.0,1.0,0.0,2023-04-21,115000.0,2023.0,4.0
