Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
4,2,1182,33541,2023-12-15,2023,12,160000
3,3,1663,7200,2023-01-10,2023,1,270000
3,2,1311,7412,2023-12-27,2023,12,250000
3,2,1826,14948,2023-07-25,2023,7,275000
4,3,1828,19907,2023-02-13,2023,2,275000
5,4,2644,8790,2023-08-30,2023,8,251000
6,4,2482,7200,2023-09-11,2023,9,250000
3,3,1624,7123,2023-12-06,2023,12,196000
4,2,1247,81893,2023-06-01,2023,6,150000
3,3,2862,13634,2023-08-31,2023,8,37900
3,3,2430,15280,2023-11-03,2023,11,507250
6,4,2441,6284,2023-01-20,2023,1,228000
6,4,2441,6000,2023-06-30,2023,6,250000
6,4,2423,6175,2023-02-06,2023,2,265000
3,2,2103,15536,2023-12-19,2023,12,205000
3,1,1328,75794,2023-10-03,2023,10,209900
3,2,1105,15550,2023-05-31,2023,5,120000
8,5,5223,36936,2023-05-10,2023,5,500000
8,2,1799,7200,2023-02-24,2023,2,300000
3,2,1445,7620,2023-01-11,2023,1,240700
4,2,1816,7200,2023-08-21,2023,8,270000
3,2,1495,7687,2023-10-05,2023,10,259900
4,2,1751,7367,2023-04-14,2023,4,285000
3,2,1360,7200,2023-05-15,2023,5,240000
4,3,2516,38701,2023-08-29,2023,8,430000
3,3,2286,15399,2023-08-24,2023,8,410000
4,3,2042,27272,2023-05-04,2023,5,267000
3,4,2361,9350,2023-04-21,2023,4,450000
6,4,2576,9225,2023-02-13,2023,2,263300
3,2,1923,12600,2023-10-23,2023,10,289000
3,2,1721,17823,2023-05-31,2023,5,178000
4,3,1704,12800,2023-11-22,2023,11,297000
3,1,1179,8700,2023-07-07,2023,7,170000
6,2,2090,8370,2023-12-12,2023,12,225000
3,2,1548,7867,2023-01-24,2023,1,233000
3,2,1149,8500,2023-04-24,2023,4,140000
6,3,1776,7560,2023-02-28,2023,2,315000
3,2,1872,41382,2023-08-23,2023,8,315000
4,2,1743,9720,2023-05-18,2023,5,266000
4,2,1852,10425,2023-09-22,2023,9,270000
5,2,1816,12000,2023-10-31,2023,10,237000
3,3,3027,20135,2023-02-28,2023,2,475000
4,3,2356,15756,2023-05-19,2023,5,377400
4,3,2573,17339,2023-07-10,2023,7,364900
4,2,2069,30928,2023-05-31,2023,5,375000
4,3,2479,8757,2023-01-13,2023,1,460000
4,3,2187,9991,2023-08-08,2023,8,430000
4,3,2282,9003,2023-06-16,2023,6,433000
4,4,3884,10000,2023-05-10,2023,5,455000
4,4,2830,10001,2023-02-04,2023,2,419000
4,3,2452,12240,2023-10-06,2023,10,350000
3,3,2004,15300,2023-03-20,2023,3,220000
4,2,1594,11250,2023-05-24,2023,5,295000
4,2,1594,9000,2023-05-02,2023,5,240000
4,2,1240,7831,2023-03-03,2023,3,260000
3,2,1718,10080,2023-10-27,2023,10,325000
4,2,1606,7208,2023-06-28,2023,6,210000
4,2,1607,8640,2023-12-01,2023,12,194300
3,3,1468,7200,2023-09-18,2023,9,250000
