,Style,Extwall,FinishedSqft,Lotsize,Bdrms,Baths_total,Sale_year,Sale_month,Sale_price
207,Cottage,Aluminum / Vinyl,504,5580,2,2,2013,8,92500
253,Cottage,Aluminum/Vinyl,532,3600,2,1,2023,8,253000
322,Residence O/S,Aluminum / Vinyl,550,8640,2,2,2018,5,190000
391,Rm or Rooming House,Aluminum / Vinyl,560,0,3,1,2018,12,103000
417,Rm or Rooming House,Aluminum / Vinyl,570,0,2,1,2015,7,186000
423,Cottage,Aluminum/Vinyl,572,7425,2,1,2020,12,85000
457,Cottage,Aluminum/Vinyl,581,3300,2,1,2023,8,175000
492,Ranch,Aluminum/Vinyl,597,18322,4,1,2022,4,113000
502,Cottage,Aluminum/Vinyl,600,1875,2,1,2021,9,175000
503,Cottage,Asphalt/Other,604,3810,2,1,2023,3,152500
504,Cottage,Asphalt/Other,604,3810,2,1,2022,12,110000
530,Cottage,Asphalt/Other,612,2575,2,1,2021,10,90000
546,Res O/S A & 1/2,Aluminum/Vinyl,616,3844,2,1,2023,9,115000
547,Cottage,Aluminum / Vinyl,618,4500,2,1,2017,7,80000
569,Rm or Rooming House,Aluminum / Vinyl,623,0,2,1,2016,11,155000
572,Ranch,Aluminum/Vinyl,624,6160,2,1,2021,10,106000
582,Ranch,Aluminum/Vinyl,624,5040,4,1,2023,9,108000
593,Ranch,Aluminum/Vinyl,624,5000,2,1,2020,12,148000
594,Ranch,Stucco,624,5000,2,1,2017,8,90600
598,Ranch,Aluminum / Vinyl,624,5000,2,1,2018,10,132000
599,Ranch,Aluminum/Vinyl,624,4960,2,1,2020,10,125000
610,Ranch,Aluminum / Vinyl,624,4960,2,1,2015,3,86500
611,Ranch,Aluminum/Vinyl,624,4800,2,1,2020,9,131000
616,Ranch,Aluminum / Vinyl,624,4800,2,1,2015,10,100000
623,Rm or Rooming House,Frame,624,0,2,1,2017,8,199900
629,Ranch,Aluminum/Vinyl,625,4800,4,2,2022,3,172000
642,Cottage,Stucco,632,5400,2,2,2020,10,115000
644,Ranch,Aluminum/Vinyl,633,4860,2,1,2020,4,122000
645,Ranch,Aluminum / Vinyl,633,4860,2,1,2017,5,89900
646,Ranch,Aluminum / Vinyl,635,5800,2,1,2017,7,112900
648,Ranch,Aluminum/Vinyl,637,4800,2,1,2023,10,170000
674,Cottage,Aluminum/Vinyl,640,6000,2,1,2021,5,175000
675,Cottage,Aluminum / Vinyl,640,6000,2,2,2013,11,97500
679,Ranch,Aluminum / Vinyl,643,4800,2,1,2013,8,99500
681,Ranch,Aluminum / Vinyl,643,4800,2,1,2016,7,111900
682,Ranch,Aluminum / Vinyl,644,4800,2,1,2018,5,117500
690,Ranch,Aluminum/Vinyl,645,5120,2,1,2022,9,165100
709,Ranch,Aluminum / Vinyl,645,5000,2,1,2018,4,125000
710,Ranch,Aluminum/Vinyl,646,4800,2,1,2022,5,170000
711,Ranch,Aluminum/Vinyl,646,4800,2,1,2020,4,115000
714,Res O/S 1 Story,Aluminum/Vinyl,647,4800,2,1,2023,11,150000
720,Res O/S A & 1/2,Aluminum/Vinyl,648,4699,2,1,2021,7,143000
724,Ranch,Asphalt/Other,651,5400,2,1,2023,11,170000
727,Ranch,Aluminum/Vinyl,651,5400,2,1,2022,10,127000
731,Ranch,Aluminum/Vinyl,651,5400,2,1,2022,9,120000
739,Ranch,Aluminum/Vinyl,656,4320,2,1,2023,10,170000
752,Cottage,Frame,656,3900,2,1,2017,2,107000
753,Rm or Rooming House,Aluminum / Vinyl,656,0,2,1,2016,7,80000
826,Ranch,Aluminum/Vinyl,667,4588,2,1,2023,11,137000
840,Ranch,Aluminum/Vinyl,667,4464,2,1,2021,7,83000
843,Ranch,Aluminum/Vinyl,667,4080,2,1,2021,6,81000
846,Ranch,Asphalt/Other,667,3720,2,1,2020,6,95000
851,Ranch,Aluminum/Vinyl,667,3600,2,1,2022,11,80000
857,Ranch,Aluminum/Vinyl,667,3600,2,1,2021,9,85000
858,Ranch,Aluminum/Vinyl,667,3600,2,1,2021,7,80000
882,Ranch,Aluminum/Vinyl,669,5400,2,1,2022,12,175000
889,Ranch,Aluminum/Vinyl,670,5160,2,1,2023,7,179000
905,Ranch,Aluminum/Vinyl,672,9450,2,1,2020,9,122500
906,Ranch,Aluminum/Vinyl,672,8400,2,1,2020,9,120000
921,Ranch,Aluminum/Vinyl,672,7750,2,1,2020,5,115000
926,Ranch,Aluminum/Vinyl,672,7473,2,1,2023,4,185000
927,Ranch,Aluminum / Vinyl,672,7473,2,1,2017,11,83000
930,Ranch,Aluminum/Vinyl,672,7000,2,1,2023,6,163000
932,Ranch,Aluminum/Vinyl,672,6700,2,1,2023,8,190000
942,Ranch,Aluminum/Vinyl,672,6552,2,1,2021,3,171000
952,Ranch,Aluminum / Vinyl,672,6500,3,2,2018,11,80000
953,Ranch,Aluminum/Vinyl,672,6480,2,1,2023,8,107000
955,Ranch,Prem Wood,672,6440,2,1,2022,8,88000
957,Ranch,Aluminum/Vinyl,672,6360,2,1,2021,7,164000
958,Ranch,Aluminum/Vinyl,672,6300,2,1,2021,7,143900
960,Ranch,Aluminum / Vinyl,672,6200,2,1,2017,12,100000
962,Ranch,Aluminum/Vinyl,672,6064,2,1,2022,8,160000
964,Ranch,Aluminum / Vinyl,672,6050,2,1,2017,2,125000
965,Ranch,Aluminum/Vinyl,672,6000,2,1,2023,3,172000
966,Ranch,Aluminum/Vinyl,672,6000,2,1,2022,8,130000
967,Ranch,Aluminum/Vinyl,672,6000,2,1,2021,3,150000
968,Ranch,Aluminum/Vinyl,672,6000,2,1,2020,9,155000
972,Ranch,Aluminum / Vinyl,672,6000,2,1,2016,12,83000
978,Ranch,Aluminum/Vinyl,672,5880,2,2,2021,6,199900
979,Ranch,Aluminum / Vinyl,672,5880,2,1,2017,10,119000
980,Ranch,Aluminum / Vinyl,672,5880,2,1,2018,6,131000
981,Ranch,Asphalt/Other,672,5859,2,1,2023,1,170000
986,Ranch,Aluminum / Vinyl,672,5720,2,2,2013,8,118900
987,Ranch,Aluminum / Vinyl,672,5670,2,1,2016,11,102000
988,Ranch,Frame,672,5640,2,1,2017,4,80000
989,Ranch,Aluminum/Vinyl,672,5633,2,1,2020,8,156000
992,Ranch,Aluminum/Vinyl,672,5610,2,1,2021,11,85000
995,Cape Cod,Aluminum / Vinyl,672,5600,2,1,2013,10,82900
997,Ranch,Aluminum / Vinyl,672,5504,2,1,2018,8,105000
999,Ranch,Aluminum/Vinyl,672,5500,2,1,2023,12,184000
1003,Ranch,Aluminum/Vinyl,672,5500,2,1,2021,6,135000
1004,Ranch,Aluminum/Vinyl,672,5490,2,1,2022,8,133000
1006,Ranch,Aluminum / Vinyl,672,5445,2,1,2018,3,145000
1007,Ranch,Aluminum/Vinyl,672,5400,2,1,2021,3,136500
1008,Ranch,Aluminum/Vinyl,672,5400,2,1,2021,10,90000
1011,Ranch,Asphalt/Other,672,5300,2,1,2023,7,88000
1014,Ranch,Aluminum/Vinyl,672,5280,2,1,2022,7,181000
1015,Ranch,Aluminum/Vinyl,672,5250,2,1,2022,12,125000
1016,Ranch,Aluminum/Vinyl,672,5250,2,1,2021,6,180100
1019,Ranch,Aluminum/Vinyl,672,5240,2,1,2022,4,200000
1023,Ranch,Aluminum / Vinyl,672,5240,2,2,2016,7,123500
1025,Ranch,Aluminum / Vinyl,672,5240,2,1,2017,5,90000
1029,Ranch,Aluminum / Vinyl,672,5240,2,2,2018,3,144000
1033,Ranch,Aluminum / Vinyl,672,5240,2,1,2018,10,120000
1034,Ranch,Aluminum / Vinyl,672,5240,2,1,2018,10,100000
1035,Ranch,Aluminum/Vinyl,672,5200,2,1,2023,11,106000
