,district,nbhd,stories,rooms,finishedsqft,lotsize,units,bdrms,baths_total,year,month,style_bi-level,style_cape cod,style_colonial,style_cottage,style_dplx bungalow,style_duplex n/s,style_duplex-cottage,style_milwaukee bungalow,style_ranch,style_res o/s 2sty +,extwall_aluminum / vinyl,extwall_aluminum/vinyl,extwall_block,extwall_brick,extwall_stone,extwall_stucco,extwall_wood
0,7,1440,1.0,7,1400,3484.8,1,3,1,2024,6,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,12,4120,2.0,10,1600,3484.8,2,3,2,2024,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2,10,2710,1.0,4,667,4356.0,1,2,1,2024,6,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
3,15,2400,2.0,6,1184,4356.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,13,4520,2.0,6,1300,4356.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5,11,4260,1.0,0,953,4791.6,1,2,1,2024,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6,10,2540,1.0,0,1234,4791.6,1,2,2,2024,6,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7,7,1740,1.5,7,1532,4791.6,2,3,2,2024,6,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8,3,3160,2.0,12,2739,4791.6,2,5,3,2024,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
9,6,2910,2.0,0,1884,5000.0,2,2,1,2024,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
10,1,1620,1.5,6,1603,5227.2,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,5,2120,1.5,8,2118,5227.2,2,5,3,2024,6,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
12,15,3000,2.0,7,1717,6534.0,1,3,1,2024,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,9,240,1.0,0,1156,7840.8,1,3,1,2024,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
14,5,1470,1.5,0,1271,7840.8,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15,2,1020,1.5,0,2007,7840.8,2,4,3,2024,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16,13,4720,1.0,5,1152,8712.0,1,3,2,2024,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17,9,240,1.0,6,1279,10454.4,1,2,2,2024,6,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
18,9,240,1.0,7,1285,10454.4,1,3,2,2024,6,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
19,13,4800,1.0,0,1506,10454.4,1,3,2,2024,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
20,9,240,1.0,0,1907,10890.0,1,3,2,2024,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
21,9,440,1.0,8,1816,12196.8,1,5,2,2024,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,9,240,1.5,0,2287,18730.8,1,3,2,2024,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
23,9,240,1.5,0,1500,27007.2,1,4,2,2024,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24,5,2140,1.0,6,1972,41817.6,1,4,2,2024,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
