State,City,Address,Zipcode,Latitude,Longitude,Style,Extwall,Bdrms,Baths_total,FinishedSqft,PPSq,Lotsize,ConvertedLot,LotUnit,MarketEstimate,RentEstimate,Price
WI,Milwaukee,North 35th STREET,53216,43.095448,-87.957344,Cottage,Aluminum/Vinyl,2,1,667,206.1469265,4356,0.1,sqft,139700,996,137500
WI,Milwaukee,West Vine STREET UNIT 8,53212,43.054092,-87.91497,Cape Cod,Aluminum / Vinyl,1,1,895,178.7709497,nan,nan,nan,156400,1550,160000
WI,Milwaukee,North 17th STREET NORTH North,53206,43.069004,-87.9341,,,3,2,902,155.210643,0,0,sqft,nan,1674,140000
WI,Milwaukee,North 78th STREET,53222,43.0746,-88.009514,Cape Cod,Aluminum/Vinyl,2,1,953,187.8279119,4791.6,0.11,sqft,192900,1294,179000
WI,Milwaukee,West Bottsford AVENUE,53221,42.964855,-87.95444,Colonial,Aluminum/Vinyl,3,2,1152,216.1458333,8712,0.2,sqft,259000,1994,249000
WI,Milwaukee,West Eden PLACE,53220,42.98033,-88.00272,Colonial,Aluminum / Vinyl,3,1,1156,125.3460208,7840.8,0.18,sqft,157300,1700,144900
WI,Milwaukee,North 25th STREET,53205,43.056957,-87.944756,Ranch,Aluminum/Vinyl,3,2,1184,114.0202703,4356,0.1,sqft,132800,1500,135000
WI,Milwaukee,S Alabama Ave,53207,42.98269,-87.887985,Milwaukee Bungalow,Aluminum/Vinyl,2,2,1234,202.4311183,4791.6,0.11,sqft,263300,1678,249800
WI,Milwaukee,North 86th PLACE,53225,43.12185,-88.019295,Cape Cod,Aluminum/Vinyl,3,2,1271,106.2155783,7840.8,0.18,sqft,136300,1875,135000
OR,Milwaukie,SE Jennings Ave,97267,45.39881,-122.59761,Ranch,Brick,2,2,1279,371.3838937,10454.4,0.24,sqft,485500,2250,475000
OR,Milwaukie,SE La Marquita Way,97267,45.412502,-122.614136,Ranch,Brick,3,2,1285,330.7392996,10454.4,0.24,sqft,434700,2695,425000
WI,Milwaukee,South Whitnall AVENUE,53207,42.982292,-87.905945,Cape Cod,Brick,3,2,1300,260.7692308,4356,0.1,sqft,360000,1875,339000
WI,Milwaukee,South 8th STREET,53215,42.996044,-87.921,Milwaukee Bungalow,Aluminum / Vinyl,3,1,1400,110.7142857,3484.8,0.08,sqft,156700,1300,155000
WI,Milwaukee,North Sherman BOULEVARD UNIT 4326,53216,43.095818,-87.96662,Ranch,Brick,4,2,1500,83.26666667,27007.2,0.62,sqft,nan,nan,124900
WI,Milwaukee,South 83rd STREET,53220,42.980274,-88.016075,Ranch,Aluminum / Vinyl,3,2,1506,189.1766268,10454.4,0.24,sqft,294300,2500,284900
WI,Milwaukee,West Willow COURT,53217,43.164795,-87.91268,,,2,2,1524,163.976378,nan,nan,nan,nan,2199,249900
WI,Milwaukee,North 45th STREET,53216,43.081413,-87.97008,Dplx Bungalow,Block,3,2,1532,116.8407311,4791.6,0.11,sqft,183800,1588,179000
WI,Milwaukee,East Homer STREET,53207,42.99976,-87.89994,Duplex O/S,Aluminum/Vinyl,3,2,1600,218.6875,3484.8,0.08,sqft,370200,1999,349900
WI,Milwaukee,North Warren AVENUE,53202,43.05354,-87.89342,Cape Cod,Aluminum/Vinyl,3,2,1603,218.2782283,5227.2,0.12,sqft,356000,1414,349900
WI,Milwaukee,East Kenwood BOULEVARD UNIT 2,53211,43.074947,-87.876076,,,3,1,1661,129.4400963,nan,nan,nan,224000,1645,215000
WI,Milwaukee,North 37th STREET,53210,43.066345,-87.95949,Res O/S A & 1/2,Aluminum/Vinyl,4,2,1714,20.36172695,3484.8,0.08,sqft,nan,1345,34900
WI,Milwaukee,North 60th STREET,53208,43.051777,-87.98722,Residence O/S,Brick,3,1,1717,186.3715783,6534,0.15,sqft,334300,1599,320000
WI,Milwaukee,West Good Hope ROAD,53224,43.148857,-88.03475,Ranch,Brick,5,2,1816,137.6101322,12196.8,0.28,sqft,256800,2350,249900
OR,Milwaukie,SE 31st Ave,97222,45.443207,-122.63126,,,4,2,1848,216.4502165,nan,nan,nan,nan,nan,400000
OR,Milwaukie,SE Sellwood St,97222,45.440216,-122.62847,Residence O/S,Aluminum / Vinyl,2,1,1884,145.9660297,5000,0.114784206,sqft,nan,nan,275000
WI,Milwaukee,North Link PLACE,53223,43.160305,-87.97605,Ranch,Aluminum / Vinyl,3,2,1907,162.5065548,10890,0.25,sqft,319100,2299,309900
WI,Milwaukee,North Sherman BOULEVARD,53216,43.077385,-87.96693,Ranch,Stone,4,2,1972,82.91075051,41817.6,0.96,sqft,162900,2299,163500
WI,Milwaukee,West Green Tree ROAD,53223,43.141716,-88.0114,Colonial,Frame,4,3,2007,102.1425012,7840.8,0.18,sqft,211900,2149,205000
WI,Milwaukee,North 85th STREET,53222,43.072025,-88.01916,Duplex N/S,Brick,5,3,2118,158.1208687,5227.2,0.12,sqft,355900,2199,334900
WI,Milwaukee,North Marshall STREET UNIT 204,53202,43.044933,-87.90131,,,3,2,2205,294.739229,nan,nan,nan,595900,2767,649900
OR,Milwaukie,SE Mabel Ave,97267,45.40742,-122.594246,Duplex N/S,Masonry / Frame,3,2,2287,174.8578924,18730.8,0.43,sqft,412700,2999,399900
WI,Milwaukee,North 50th STREET,53216,43.07606,-87.97638,Tudor,Brick,5,3,2739,94.92515517,4791.6,0.11,sqft,257300,1999,260000
WI,Milwaukee,North 26th STREET,53206,43.076214,-87.94637,,,4,2,nan,nan,3920.4,0.09,sqft,nan,1425,7000
