Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
3,1,956,1098,2022-08-15,1963.0,2022,90000
2,1,870,1260,2021-03-29,1929.0,2021,180000
2,1,1049,1350,2022-06-14,1918.0,2022,325000
3,2,1213,1440,2021-04-26,1880.0,2021,100000
4,1,1258,1440,2022-08-17,1890.0,2022,110000
6,2,1368,1485,2022-03-18,1875.0,2022,170000
3,2,1280,1500,2021-11-12,1892.0,2021,355000
2,2,1282,1560,2021-07-23,1905.0,2021,170000
3,3,1494,1590,2021-04-19,1889.0,2021,215000
3,1,1353,1600,2023-07-12,1922.0,2023,109000
6,2,1176,1740,2022-02-14,1894.0,2022,90000
3,1,1386,1740,2020-05-15,1914.0,2020,109000
3,1,870,1800,2023-12-21,1896.0,2023,87000
4,1,1401,1800,2021-12-17,1905.0,2021,265000
3,1,1257,1837,2021-05-13,1902.0,2021,132000
4,1,1186,1850,2022-05-23,1899.0,2022,200000
3,1,1173,1860,2023-12-08,1895.0,2023,111000
5,1,1002,1890,2023-08-17,1897.0,2023,260000
3,2,2275,1890,2023-07-27,1909.0,2023,329900
2,2,1366,1900,2021-10-28,1905.0,2021,315000
3,1,1199,2000,2020-07-22,1929.0,2020,217000
4,2,2709,2000,2022-10-13,1890.0,2022,225000
3,2,1180,2040,2022-08-24,1912.0,2022,107500
3,2,1167,2048,2019-08-27,1927.0,2019,155000
6,2,1501,2071,2022-01-28,1910.0,2022,213000
3,1,1457,2100,2023-04-04,1927.0,2023,130000
3,1,1152,2100,2022-07-28,1915.0,2022,170000
3,1,1186,2100,2021-07-01,1919.0,2021,211000
3,1,1210,2100,2023-12-08,1919.0,2023,295000
3,1,1314,2160,2023-02-17,1924.0,2023,130000
3,1,1001,2160,2021-04-19,1948.0,2021,160000
3,2,1284,2160,2022-11-23,1924.0,2022,264000
3,1,1118,2178,2021-04-16,1922.0,2021,182000
2,2,1515,2190,2021-05-26,1895.0,2021,284900
8,1,1352,2200,2023-02-23,1925.0,2023,215000
4,2,1159,2200,2022-05-10,1884.0,2022,215000
4,1,1352,2205,2022-01-07,1925.0,2022,210000
3,2,1074,2250,2015-07-01,1925.0,2015,174500
3,1,1297,2250,2022-11-23,1897.0,2022,216800
2,2,1074,2250,2022-01-07,1925.0,2022,275500
4,1,1044,2280,2022-08-01,1922.0,2022,182000
3,2,1292,2280,2023-12-04,1910.0,2023,240000
3,1,1456,2340,2023-03-10,1885.0,2023,126000
6,1,1293,2340,2022-07-05,1884.0,2022,180000
3,1,1613,2352,2023-06-09,1910.0,2023,87000
3,2,1464,2352,2018-09-01,1925.0,2018,225000
3,2,1464,2352,2021-04-05,1925.0,2021,271000
2,1,780,2375,2017-07-01,1951.0,2017,96000
3,2,1632,2400,2021-08-11,1910.0,2021,104900
3,2,1152,2400,2022-08-18,1927.0,2022,118000
3,1,952,2400,2020-10-09,1870.0,2020,140000
3,1,1322,2400,2021-05-14,1900.0,2021,180000
3,1,1173,2400,2021-04-23,1927.0,2021,195000
2,1,1124,2400,2020-04-20,1927.0,2020,215000
3,1,952,2400,2021-07-14,1870.0,2021,225000
4,1,1749,2400,2022-03-11,1912.0,2022,271500
4,2,1549,2400,2022-09-23,1900.0,2022,320000
3,2,1273,2448,2023-11-13,1900.0,2023,155000
3,1,1064,2485,2021-04-09,1927.0,2021,246000
3,2,939,2500,2021-02-24,1874.0,2021,82000
2,1,945,2500,2021-05-18,1895.0,2021,205000
2,1,1275,2520,2022-05-18,1925.0,2022,103500
6,2,2160,2520,2022-08-31,1897.0,2022,190000
4,2,1594,2525,2015-02-01,1927.0,2015,85000
4,2,1646,2528,2023-09-06,1905.0,2023,400000
5,1,1254,2550,2023-12-08,1925.0,2023,130000
3,1,1095,2550,2020-06-26,1912.0,2020,195500
4,2,1986,2550,2023-08-22,1904.0,2023,330000
3,1,1277,2560,2013-09-01,1923.0,2013,101000
2,2,1131,2572,2013-08-01,2009.0,2013,182500
2,2,1131,2572,2016-07-01,2009.0,2016,192000
2,2,1382,2573,2016-02-01,2009.0,2016,195000
2,1,1028,2580,2021-04-28,1923.0,2021,282500
2,1,924,2584,2016-06-01,1925.0,2016,114000
2,1,924,2584,2020-07-07,1925.0,2020,228000
4,1,1138,2590,2018-02-01,1920.0,2018,135000
4,2,1613,2600,2023-06-24,1924.0,2023,190000
4,1,1062,2625,2022-07-20,1925.0,2022,261000
2,1,672,2628,2021-09-07,1921.0,2021,167766
3,2,1562,2640,2023-09-12,1908.0,2023,131600
3,2,1407,2640,2022-05-05,1900.0,2022,337500
3,1,958,2655,2022-04-15,1953.0,2022,91900
3,1,1265,2660,2017-07-01,1924.0,2017,175000
3,1,973,2660,2018-03-01,1924.0,2018,176000
3,1,1102,2660,2020-04-24,1927.0,2020,177000
3,1,1197,2660,2021-02-17,1924.0,2021,225000
3,1,1274,2670,2016-02-01,1927.0,2016,170000
2,1,1084,2670,2021-09-27,1929.0,2021,261000
4,3,1628,2670,2023-02-28,1900.0,2023,290000
4,1,1355,2680,2016-06-01,1925.0,2016,205000
3,1,1357,2700,2021-05-24,1898.0,2021,95000
2,1,1000,2700,2023-09-07,1922.0,2023,105000
3,1,854,2700,2020-05-13,1904.0,2020,140000
3,2,1453,2700,2023-12-27,1918.0,2023,200000
